,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,age_bins
2092,Oct,4,Saturday,Mazda,Urban,Thursday,Nov,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,young
2093,Oct,2,Saturday,Honda,Urban,Monday,Oct,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,1 year,1 vehicle,1994,Collision,young
2094,Aug,2,Monday,Mazda,Urban,Monday,Aug,3,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,middle
2095,Jul,4,Friday,Toyota,Rural,Friday,Aug,1,Male,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,middle
2096,Jun,2,Saturday,Honda,Urban,Monday,Jun,2,Female,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,young
2097,Jun,2,Friday,Mazda,Urban,Saturday,Jul,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,old
2098,Jun,1,Monday,Toyota,Rural,Monday,Jun,1,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,middle
2099,Jun,1,Friday,Mazda,Urban,Monday,Jun,2,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,young
2100,May,1,Saturday,Toyota,Urban,Thursday,May,3,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,4 years,21 to 25,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,All Perils,teens
2101,Apr,3,Monday,Toyota,Urban,Monday,Apr,3,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,young
2102,Apr,1,Thursday,Pontiac,Urban,Thursday,Apr,1,Male,Married,Policy Holder,Sedan - Liability,Sport,less than 20000,0,400,1,more than 30,more than 30,2 to 4,7 years,over 65,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,old
2103,Mar,3,Thursday,Honda,Urban,Thursday,Mar,3,Male,Single,Policy Holder,Sedan - Collision,Sedan,more than 69000,1,400,1,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision,teens
2104,Feb,4,Tuesday,Mazda,Urban,Thursday,Feb,4,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,middle
2105,Feb,4,Wednesday,Pontiac,Urban,Friday,Feb,4,Male,Married,Third Party,Sedan - All Perils,Sedan,more than 69000,0,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,middle
2106,Jan,5,Sunday,Chevrolet,Urban,Friday,Feb,1,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,6 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,teens
2107,Jan,5,Saturday,Pontiac,Urban,Tuesday,Feb,3,Male,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,young
2108,Nov,1,Wednesday,Mazda,Urban,Thursday,Nov,1,Female,Married,Third Party,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,young
2109,Oct,2,Tuesday,Toyota,Urban,Tuesday,Oct,2,Male,Married,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability,young
2110,Oct,2,Tuesday,Mazda,Rural,Thursday,Oct,2,Male,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,young
2111,Oct,1,Tuesday,Pontiac,Urban,Friday,Oct,2,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,young
2112,Sep,3,Tuesday,Ford,Urban,Monday,Nov,4,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,middle
2113,Sep,3,Monday,Mazda,Urban,Wednesday,Sep,5,Male,Married,Policy Holder,Utility - All Perils,Utility,more than 69000,0,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,middle
2114,Aug,2,Saturday,Chevrolet,Urban,Friday,Aug,3,Male,Married,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,old
2115,Aug,2,Friday,Accura,Urban,Tuesday,Sep,1,Male,Single,Policy Holder,Utility - All Perils,Utility,more than 69000,0,400,2,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,young
2116,Mar,3,Thursday,Pontiac,Urban,Friday,Mar,3,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,old
2117,May,4,Sunday,Pontiac,Urban,Monday,May,4,Female,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,young
2118,May,4,Monday,Mazda,Urban,Friday,May,4,Female,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision,young
2119,May,4,Saturday,Pontiac,Urban,Tuesday,Jun,4,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability,middle
2120,May,1,Tuesday,Honda,Rural,Wednesday,May,1,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,middle
2121,Apr,5,Thursday,Accura,Urban,Wednesday,May,1,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability,young
2122,Apr,4,Tuesday,Toyota,Urban,Monday,May,1,Female,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,middle
2123,Apr,3,Monday,Chevrolet,Urban,Wednesday,Apr,3,Male,Married,Policy Holder,Utility - Liability,Utility,more than 69000,0,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,young
2124,Mar,5,Tuesday,Accura,Urban,Wednesday,Apr,1,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,young
2125,Jul,1,Friday,Honda,Urban,Monday,Jan,4,Male,Single,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,400,3,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision,teens
2126,May,2,Thursday,Honda,Urban,Friday,Feb,2,Male,Single,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,400,4,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision,teens
2127,Mar,1,Sunday,Toyota,Urban,Wednesday,Mar,2,Female,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,young
2128,Mar,1,Friday,Mazda,Urban,Friday,Mar,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils,old
2129,Feb,3,Sunday,Honda,Urban,Friday,Feb,4,Male,Married,Policy Holder,Sport - Collision,Sport,more than 69000,0,400,4,more than 30,more than 30,1,3 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,young
2130,Apr,2,Wednesday,Toyota,Urban,Wednesday,Apr,2,Female,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,none,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision,young
2131,Sep,4,Thursday,Mazda,Urban,Thursday,Nov,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,young
2132,Sep,1,Tuesday,Honda,Urban,Tuesday,Sep,1,Female,Divorced,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,3 to 4,1994,Liability,young
2133,Nov,2,Wednesday,Honda,Urban,Wednesday,Nov,3,Male,Single,Third Party,Sport - Collision,Sport,more than 69000,0,400,3,more than 30,more than 30,none,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,middle
2134,Sep,3,Saturday,Toyota,Urban,Wednesday,Sep,3,Male,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,young
2135,Aug,4,Sunday,Chevrolet,Urban,Monday,Aug,5,Male,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,young
2136,Jul,5,Monday,Toyota,Urban,Wednesday,Aug,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,400,1,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils,old
2137,Jul,3,Friday,Honda,Urban,Thursday,Jul,3,Male,Married,Third Party,Sport - Collision,Sport,more than 69000,0,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,young
2138,Jul,2,Tuesday,Chevrolet,Urban,Monday,Jul,3,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,young
2139,Jul,1,Thursday,Honda,Urban,Friday,Jul,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,700,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,old
2140,Jul,1,Sunday,Mazda,Urban,Friday,Jul,2,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,young
2141,Mar,3,Friday,Chevrolet,Urban,Friday,Apr,1,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,young
2142,Jun,5,Friday,Toyota,Urban,Tuesday,Jul,1,Male,Married,Third Party,Sedan - Liability,Sport,30000 to 39000,1,500,1,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,2 to 3 years,2 vehicles,1994,Liability,middle
2143,Mar,3,Saturday,Ford,Urban,Tuesday,Mar,4,Male,Married,Policy Holder,Sedan - All Perils,Sedan,40000 to 59000,1,400,4,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils,middle
2144,Jun,5,Thursday,Chevrolet,Urban,Saturday,Jul,1,Male,Married,Policy Holder,Utility - All Perils,Utility,more than 69000,0,400,2,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,young
2145,May,4,Monday,Honda,Urban,Friday,May,4,Female,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,none,5 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,young
2146,Apr,5,Saturday,Toyota,Urban,Wednesday,May,1,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,young
2147,Apr,2,Sunday,Mazda,Urban,Monday,Apr,2,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,young
2148,Apr,2,Saturday,Pontiac,Urban,Wednesday,Apr,3,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,middle
2149,Mar,4,Monday,Pontiac,Urban,Wednesday,Mar,5,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,old
2150,Mar,3,Friday,Toyota,Rural,Friday,Mar,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,young
2151,Mar,2,Tuesday,Chevrolet,Urban,Tuesday,Mar,3,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,middle
2152,Dec,2,Friday,VW,Urban,Wednesday,Dec,5,Male,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,young
2153,Oct,4,Friday,Toyota,Urban,Wednesday,Oct,4,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability,young
2154,Oct,1,Monday,Pontiac,Urban,Tuesday,Oct,2,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils,young
2155,Sep,5,Friday,Toyota,Urban,Monday,Oct,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,middle
2156,Sep,5,Thursday,Honda,Urban,Thursday,Nov,2,Male,Married,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,400,1,more than 30,more than 30,none,new,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils,old
2157,Sep,1,Sunday,Pontiac,Urban,Wednesday,Sep,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,young
2158,Aug,5,Wednesday,Toyota,Rural,Friday,Sep,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,middle
2159,Aug,1,Thursday,Honda,Urban,Tuesday,Aug,3,Male,Married,Third Party,Sport - Collision,Sport,more than 69000,0,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,middle
2160,Jul,1,Monday,Toyota,Urban,Wednesday,Aug,2,Female,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision,young
2161,Jun,2,Monday,Honda,Urban,Tuesday,Jun,3,Male,Single,Third Party,Sedan - Collision,Sedan,more than 69000,0,400,3,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Collision,teens
2162,Jun,1,Sunday,Toyota,Urban,Thursday,Jul,2,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,middle
2163,May,4,Thursday,Chevrolet,Urban,Wednesday,Jun,3,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision,young
2164,Apr,3,Tuesday,Ford,Urban,Wednesday,Apr,3,Male,Married,Third Party,Sedan - Collision,Sedan,more than 69000,0,400,4,more than 30,more than 30,1,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,young
2165,Apr,3,Tuesday,Honda,Urban,Thursday,Apr,4,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,young
2166,Apr,2,Monday,Chevrolet,Rural,Wednesday,May,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils,old
2167,Mar,3,Saturday,Toyota,Rural,Friday,Apr,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,middle
2168,Mar,5,Monday,Ford,Urban,Tuesday,Apr,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,young
2169,Mar,4,Saturday,Honda,Urban,Thursday,Apr,2,Male,Single,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision,young
2170,Mar,3,Sunday,Pontiac,Urban,Tuesday,Apr,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,700,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision,middle
2171,Feb,4,Friday,Chevrolet,Urban,Monday,Feb,5,Male,Married,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,400,1,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability,young
2172,Nov,1,Monday,Pontiac,Urban,Wednesday,Nov,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,young
2173,Mar,3,Sunday,Toyota,Rural,Tuesday,Mar,4,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,3 to 4,1994,All Perils,middle
2174,Nov,1,Monday,Toyota,Urban,Tuesday,Nov,2,Female,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,young
2175,Nov,1,Wednesday,Toyota,Urban,Monday,Nov,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils,young
2176,Nov,1,Friday,Ford,Urban,Thursday,Nov,2,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,Yes,No,External,none,no change,1 vehicle,1994,Liability,young
2177,Sep,4,Thursday,Chevrolet,Urban,Wednesday,Sep,4,Female,Married,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,400,3,more than 30,more than 30,none,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision,middle
2178,Mar,3,Sunday,Toyota,Rural,Tuesday,Mar,4,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,1,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision,young
2179,Mar,3,Wednesday,Pontiac,Urban,Wednesday,Mar,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,young
2180,Feb,4,Monday,Toyota,Urban,Tuesday,Feb,5,Male,Single,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,400,1,more than 30,more than 30,1,4 years,21 to 25,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,teens
2181,Feb,4,Monday,VW,Urban,Wednesday,Mar,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,40000 to 59000,0,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,young
2182,Feb,4,Sunday,Chevrolet,Urban,Monday,Feb,4,Female,Married,Third Party,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,middle
2183,Feb,3,Monday,Pontiac,Urban,Tuesday,Mar,2,Male,Divorced,Policy Holder,Sedan - Liability,Sport,less than 20000,0,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,young
2184,Feb,3,Tuesday,Toyota,Urban,Tuesday,Feb,3,Female,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,1 year,2 vehicles,1994,All Perils,middle
2185,Mar,3,Sunday,Pontiac,Urban,Monday,Mar,4,Male,Married,Policy Holder,Sedan - Collision,Sedan,less than 20000,1,400,3,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision,middle
2186,May,2,Monday,Pontiac,Urban,Monday,Jun,3,Male,Married,Policy Holder,Utility - All Perils,Utility,more than 69000,0,400,1,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,old
2187,Mar,3,Sunday,Mazda,Urban,Monday,Apr,1,Male,Married,Third Party,Sport - Collision,Sport,more than 69000,0,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision,middle
2188,Apr,1,Saturday,Mazda,Urban,Friday,Apr,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision,young
2189,Mar,3,Friday,Pontiac,Urban,Friday,Mar,3,Male,Married,Third Party,Sedan - Liability,Sport,30000 to 39000,0,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability,young
2190,Mar,4,Monday,Ford,Urban,Friday,Apr,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils,old
2191,Mar,2,Tuesday,Mazda,Urban,Wednesday,Mar,2,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability,young
2192,Mar,2,Wednesday,Honda,Urban,Wednesday,Mar,3,Male,Married,Third Party,Sedan - Liability,Sport,more than 69000,0,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Liability,middle
2193,Mar,1,Thursday,Mazda,Urban,Tuesday,Mar,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,500,2,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,2 to 3 years,1 vehicle,1994,Collision,middle
2194,Feb,5,Monday,Honda,Urban,Monday,Feb,5,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils,young
2195,Feb,2,Saturday,Toyota,Urban,Wednesday,Feb,3,Female,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,more than 7,over 65,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,old
2196,Feb,5,Tuesday,Pontiac,Urban,Thursday,Mar,1,Male,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,All Perils,middle
2197,Mar,4,Wednesday,Chevrolet,Urban,Thursday,Apr,4,Male,Married,Policy Holder,Utility - Liability,Utility,more than 69000,0,400,2,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,Internal,more than 5,no change,1 vehicle,1994,Liability,old
2198,Mar,4,Monday,Honda,Urban,Tuesday,Mar,4,Male,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,6 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils,young
2199,Mar,3,Tuesday,Honda,Urban,Wednesday,Mar,3,Male,Single,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,1,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability,teens
